,Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus
0,Business School,ACCN08007_SS1_SEM1_2024/5,E:96XCWW2M9V,Tutorial,50,18.0,Tuesday 11:00,9,"10, 11, 12, 13, 15, 16, 17, 18, 19",0335_01_1.9,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
1,Business School,BUST08052_SS1_SEM1_2024/5,E:XT1KZOCGA6,Tutorial,110,25.0,Wednesday 10:00,2,"15, 19",0228_-1_LG.10,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
2,Business School,BUST08051_SV1_SEM1_2024/5,E:NB1S2PULQP,Tutorial,110,20.0,Monday 09:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0201_00_G.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
3,Business School,BUST08004_SV1_SEM1_2024/5,E:QGLQZOQGIF,Tutorial,50,14.0,Tuesday 15:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0113_00_G.205,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
4,Business School,BUST10149_SV1_SEM1_2024/5,E:Y2SNRCC5RT,Lecture,110,120.0,Monday 11:00,2,"9, 17",LectureTheatre_ChambersStreetMuseum,Centrally Allocated Space,General Teaching,Hired Space - Contingency,Central
5,Business School,BUST08030_SS1_SEM1_2024/5,E:BL11YDBTOH,Q&A Session,50,180.0,Tuesday 15:00,2,"12, 19",0227_00_G.03,Centrally Allocated Space,General Teaching,50 George Square,Central
6,Business School,BUST08005_SV1_SEM1_2024/5,E:SY5JC9VI2Z,Tutorial,50,16.0,Monday 16:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0252_01_1.2,Centrally Allocated Space,General Teaching,22 Buccleuch Place,Central
7,Business School,BUST08045_SV1_SEM2_2024/5,E:FG39BZUGGR,Tutorial,110,28.0,Monday 13:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0251_01_1.01,Centrally Allocated Space,General Teaching,21 Buccleuch Place,Central
8,Business School,ACCN08012_SV1_SEM1_2024/5,E:NABDT4QRFR,Tutorial,50,16.0,Wednesday 09:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0252_01_1.2,Centrally Allocated Space,General Teaching,22 Buccleuch Place,Central
9,Business School,CMSE11554_SV1_SB4_2024/5,E:AE63FPRPRF,Lecture,110,50.0,Monday 13:00,4,"32, 33, 34, 35",0226_-1_LG.11,Locally Allocated Space,General Teaching,Business School,Central
11,Business School,BUST08040_SS1_SEM2_2024/5,E:WXYD62TFKD,Tutorial,110,30.0,Monday 15:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0300_00_NG.02,Centrally Allocated Space,General Teaching,High School Yards Teaching Centre,Central
12,Business School,CMSE11657_SS1_SEM2_2024/5,E:V6NXXE8U85,Lecture,110,35.0,Thursday 13:00,4,"28, 29, 30, 32",0226_-1_LG.11,Locally Allocated Space,General Teaching,Business School,Central
14,Business School,BUST08055_SV1_SEM1_2024/5,E:FZAVNXQKS8,Seminar,110,30.0,Friday 09:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0226_01_1.07,Locally Allocated Space,General Teaching,Business School,Central
16,Business School,ACCN08008_SS1_SEM2_2024/5,E:VMDGHOACW3,Tutorial,50,14.0,Monday 15:00,9,"27, 28, 29, 30, 32, 33, 34, 35, 36",0335_02_2.2,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
17,Business School,BUST08036_SS1_SEM2_2024/5,E:76JQWDU9EZ,Tutorial,50,18.0,Tuesday 13:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0103_01_1.B04,Centrally Allocated Space,General Teaching,Forresthill,Central
18,Business School,CMSE11656_SV1_SB3_2024/5,E:6NNNGFHDL7,Lecture,50,65.0,Thursday 12:00,5,"26, 27, 28, 29, 30",0226_-1_LG.18,Locally Allocated Space,General Teaching,Business School,Central
19,Business School,ACCN08012_SV1_SEM1_2024/5,E:C6DG51GCBN,Tutorial,50,16.0,Tuesday 15:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0201_00_G.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
20,Business School,BUST08045_SV1_SEM2_2024/5,E:64QFP5XCLN,Tutorial,110,23.0,Wednesday 11:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0003_01_1.01,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
21,Business School,BUST10023_SV1_SEM1_2024/5,E:HG8QHQ8GZV,Lecture,120,65.0,Thursday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0226_-1_LG.14,Locally Allocated Space,General Teaching,Business School,Central
22,Business School,CMSE11563_SS1_SB3_2024/5,E:5XTJ1AK2O1,Seminar,50,60.0,Thursday 13:00,5,"26, 27, 28, 29, 30",0226_-1_LG.10,Locally Allocated Space,General Teaching,Business School,Central
23,Business School,CMSE11632_SS1_SEM1_2024/5,E:VI5X3CA9JQ,Seminar,50,43.0,Tuesday 15:00,4,"10, 11, 12, 13",0226_-1_LG.19,Locally Allocated Space,General Teaching,Business School,Central
24,Business School,CMSE11573_SS1_SEM2_2024/5,E:76TU2C3XTK,Seminar,120,65.0,Thursday 10:00,4,"26, 28, 29, 30",0226_-1_LG.19,Locally Allocated Space,General Teaching,Business School,Central
26,Business School,BUST08035_SS1_SEM1_2024/5,E:BT1DEWFUMG,Tutorial,50,18.0,Wednesday 11:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0003_00_G.01,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
