Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus,Day,Start_Time,Time_Blocks,Session_ID
School of Economics,ECNM10070,E:T55NS8FLFY-2,Lecture,110,400.0,Friday 12:00,1,18,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,12:00,2,E:T55NS8FLFY-2_W18
School of Law,LAWS08129,E:VNAV27EOUZ,Lecture,50,250.0,Thursday 14:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,14:00,1,E:VNAV27EOUZ_W19
School of Law,LAWS08129,E:VOC1A7PEUG,Lecture,50,250.0,Thursday 14:00,3,18,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,14:00,1,E:VOC1A7PEUG_W18
School of Law,LAWS08129,E:VOC1A7PEUG,Lecture,50,250.0,Thursday 14:00,3,17,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,14:00,1,E:VOC1A7PEUG_W17
School of Law,LAWS08129,E:VOC1A7PEUG,Lecture,50,250.0,Thursday 14:00,3,16,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,14:00,1,E:VOC1A7PEUG_W16
School of Law,LAWS08134,E:A8WBX1V568,Lecture,50,243.0,Thursday 10:00,2,16,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,1,E:A8WBX1V568_W16
School of Law,LAWS08134,E:A8WBX1V568,Lecture,50,243.0,Thursday 10:00,2,18,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,1,E:A8WBX1V568_W18
Moray House School of Education and Sport,EDUA11329,E:MLIJMHK2HR-00005,Lecture,50,240.0,Wednesday 15:00,5,35,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,15:00,1,E:MLIJMHK2HR-00005_W35
Centre for Open Learning,,E:F8VJQYNJ9B-00001_Part3,Activity,590,240.0,Friday 14:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,14:00,3,E:F8VJQYNJ9B-00001_W19_Part3
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part3,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part3
Centre for Open Learning,,E:F8VJQYNJ9B-00001_Part1,Activity,590,240.0,Friday 14:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,14:00,3,E:F8VJQYNJ9B-00001_W19_Part1
Centre for Open Learning,,E:F8VJQYNJ9B-00001_Part2,Activity,590,240.0,Friday 14:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,14:00,3,E:F8VJQYNJ9B-00001_W19_Part2
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part4,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part4
Centre for Open Learning,,E:F8VJQYNJ9B_Part1,Activity,540,240.0,Sunday 09:30,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Sunday,09:30,3,E:F8VJQYNJ9B_W19_Part1
Centre for Open Learning,,E:F8VJQYNJ9B_Part3,Activity,540,240.0,Sunday 09:30,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Sunday,09:30,3,E:F8VJQYNJ9B_W19_Part3
Centre for Open Learning,,E:F8VJQYNJ9B_Part2,Activity,540,240.0,Sunday 09:30,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Sunday,09:30,3,E:F8VJQYNJ9B_W19_Part2
Centre for Open Learning,,E:F8VJQYNJ9B-00003_Part2,Activity,570,240.0,Sunday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Sunday,00:00,3,E:F8VJQYNJ9B-00003_W19_Part2
Centre for Open Learning,,E:F8VJQYNJ9B-00003_Part3,Activity,570,240.0,Sunday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Sunday,00:00,3,E:F8VJQYNJ9B-00003_W19_Part3
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part8,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part8
Centre for Open Learning,,E:F8VJQYNJ9B-00003_Part1,Activity,570,240.0,Sunday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Sunday,00:00,3,E:F8VJQYNJ9B-00003_W19_Part1
Moray House School of Education and Sport,EDUA11329,E:MLIJMHK2HR-00005,Lecture,50,240.0,Wednesday 15:00,5,29,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,15:00,1,E:MLIJMHK2HR-00005_W29
Moray House School of Education and Sport,EDUA11329,E:MLIJMHK2HR-00005,Lecture,50,240.0,Wednesday 15:00,5,32,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,15:00,1,E:MLIJMHK2HR-00005_W32
Centre for Open Learning,,E:F8VJQYNJ9B-00003_Part4,Activity,570,240.0,Sunday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Sunday,00:00,1,E:F8VJQYNJ9B-00003_W19_Part4
Moray House School of Education and Sport,EDUA11329,E:MLIJMHK2HR-00005,Lecture,50,240.0,Wednesday 15:00,5,30,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,15:00,1,E:MLIJMHK2HR-00005_W30
Moray House School of Education and Sport,EDUA11329,E:MLIJMHK2HR-00005,Lecture,50,240.0,Wednesday 15:00,5,36,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,15:00,1,E:MLIJMHK2HR-00005_W36
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part1,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part1
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part2,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part2
