,Id,Capacity,Specialist room type,Campus
17,0208_00_G.8,64,General Teaching,Central
19,0131_04_4.07,110,General Teaching,Central
20,0214_00_G.02,40,General Teaching,Central
21,0214_00_G.22,18,General Teaching,Central
22,0214_00_G.23,10,General Teaching,Central
23,0214_00_G.26,12,General Teaching,Central
24,0214_01_1.01,20,General Teaching,Central
25,0214_01_1.10,18,General Teaching,Central
26,0214_01_1.22,12,General Teaching,Central
27,0251_01_1.01,28,General Teaching,Central
28,0251_01_1.02,28,General Teaching,Central
29,0219_00_G.01,16,General Teaching,Central
30,0219_00_G.02,24,General Teaching,Central
31,0254_01_1.07,12,General Teaching,Central
32,0254_01_1.08,16,General Teaching,Central
33,0254_01_1.09,8,General Teaching,Central
34,0254_01_1.01,8,General Teaching,Central
35,0254_01_1.10,14,General Teaching,Central
36,0254_01_1.12,10,General Teaching,Central
37,0254_01_1.03,16,General Teaching,Central
38,0254_01_1.04,16,General Teaching,Central
39,0254_01_1.5A,8,General Teaching,Central
40,0254_01_1.06,12,General Teaching,Central
41,0228_01_1.01,14,General Teaching,Central
42,0228_01_1.18,12,General Teaching,Central
43,0228_02_2.18,12,General Teaching,Central
44,0228_03_3.01,24,General Teaching,Central
45,0228_04_4.18,25,General Teaching,Central
46,0228_07_7.01,18,General Teaching,Central
47,0228_07_7.18,24,General Teaching,Central
48,0228_09_9.01,16,General Teaching,Central
49,0228_09_9.18,25,General Teaching,Central
50,0228_11_11.01,16,General Teaching,Central
51,0228_11_11.06,18,General Teaching,Central
52,0228_11_11.11,15,General Teaching,Central
53,0228_11_11.18,24,General Teaching,Central
54,0228_12_12.18,13,General Teaching,Central
55,0228_13_13.07,15,General Teaching,Central
56,0229_01_1.A,350,General Teaching,Central
57,0229_01_1.B,250,General Teaching,Central
58,0229_01_1.C,250,General Teaching,Central
59,0228_-1_LG.06,35,General Teaching,Central
61,0228_-1_LG.08,36,General Teaching,Central
62,0228_-1_LG.09,96,General Teaching,Central
63,0228_-1_LG.10,36,General Teaching,Central
64,0228_-1_LG.11,78,General Teaching,Central
65,0227_00_G.01,30,General Teaching,Central
66,0227_00_G.02,36,General Teaching,Central
67,0227_00_G.03,255,General Teaching,Central
68,0227_00_G.04,100,General Teaching,Central
69,0227_00_G.05,44,General Teaching,Central
70,0227_00_G.06,64,General Teaching,Central
73,0227_02_2.03,18,General Teaching,Central
74,0227_02_2.13,10,General Teaching,Central
75,0227_02_2.14,15,General Teaching,Central
76,0227_02_2.29,15,General Teaching,Central
77,0227_02_2.30,10,General Teaching,Central
78,0227_02_2.39,18,General Teaching,Central
79,0227_02_2.54,18,General Teaching,Central
80,0227_03_3.03,18,General Teaching,Central
81,0227_03_3.13,10,General Teaching,Central
82,0227_03_3.14,15,General Teaching,Central
83,0227_03_3.29,15,General Teaching,Central
84,0227_03_3.30,10,General Teaching,Central
85,0227_03_3.39,18,General Teaching,Central
86,0227_03_3.54,18,General Teaching,Central
87,0209_01_1.21,125,General Teaching,Central
88,0209_02_2.01,70,General Teaching,Central
89,0209_02_2.37,30,General Teaching,Central
91,0003_00_G.01,20,General Teaching,Central
92,0003_00_G.02,24,General Teaching,Central
93,0003_00_G.03,18,General Teaching,Central
94,0003_00_G.04,12,General Teaching,Central
95,0003_01_1.01,23,General Teaching,Central
96,0003_01_1.02,24,General Teaching,Central
97,0003_01_1.03,24,General Teaching,Central
98,0003_01_1.04,19,General Teaching,Central
99,0003_01_1.05,12,General Teaching,Central
108,0005_-1_B.01,164,General Teaching,Central
110,0110_02_2.01,25,General Teaching,Central
111,0110_02_2.02,15,General Teaching,Central
112,0110_02_2.04,42,General Teaching,Central
113,0110_02_2.07,12,General Teaching,Central
114,0201_00_G.05,20,General Teaching,Central
115,0201_01_1.01,20,General Teaching,Central
117,0201_01_1.05,20,General Teaching,Central
118,0201_02_2.04,24,General Teaching,Central
119,0201_02_2.05,24,General Teaching,Central
120,0201_02_2.06,18,General Teaching,Central
121,0201_02_2.07,20,General Teaching,Central
122,0201_02_2.11,28,General Teaching,Central
123,0201_02_2.12,54,General Teaching,Central
124,0201_02_2.14,54,General Teaching,Central
128,0228_06_6.05,14,General Teaching,Central
129,0228_06_6.10,13,General Teaching,Central
130,0228_06_6.11,24,General Teaching,Central
142,0226_00_GF.14,147,General Teaching,Central
144,0226_01_1.02,50,General Teaching,Central
145,0226_01_1.07,48,General Teaching,Central
147,0228_08_8.13,15,General Teaching,Central
149,0226_-1_LG.10,72,General Teaching,Central
150,0226_-1_LG.11,66,General Teaching,Central
151,0226_-1_LG.14,68,General Teaching,Central
152,0226_-1_LG.18,66,General Teaching,Central
153,0226_-1_LG.19,70,General Teaching,Central
154,0112_00_G.01,55,General Teaching,Central
155,0112_00_G.02,55,General Teaching,Central
158,0112_-1_B.01,35,General Teaching,Central
159,0112_-1_B.02,40,General Teaching,Central
161,0112_-1_B.06,25,General Teaching,Central
162,0283_01_1.01,12,General Teaching,Central
163,0283_01_1.17,26,General Teaching,Central
164,0283_01_1.20,46,General Teaching,Central
165,0283_03_3.10,56,General Teaching,Central
169,0228_06_6.14,12,General Teaching,Central
171,0228_08_8.16,15,General Teaching,Central
176,0450_01_1.62,12,General Teaching,Central
177,0450_01_1.63,8,General Teaching,Central
179,0228_11_11.10,36,General Teaching,Central
180,0450_02_2.35,128,General Teaching,Central
181,0450_02_2.55,68,General Teaching,Central
182,0450_02_2.63,8,General Teaching,Central
183,0450_03_3.32,12,General Teaching,Central
185,0450_03_3.42,8,General Teaching,Central
186,0450_03_3.43,12,General Teaching,Central
188,0450_03_3.62,12,General Teaching,Central
189,0450_03_3.63,8,General Teaching,Central
191,0103_01_1.B04,20,General Teaching,Central
192,0103_01_1.B09,16,General Teaching,Central
193,0103_01_1.B10,20,General Teaching,Central
194,0103_01_1.B15,16,General Teaching,Central
195,0103_01_1.B19,20,General Teaching,Central
196,0103_03_3.D02,40,General Teaching,Central
198,0311_02_2.01,22,General Teaching,Central
200,0311_02_2.05,31,General Teaching,Central
201,0311_02_2.13,80,General Teaching,Central
202,0311_04_4.08,14,General Teaching,Central
203,0311_04_4.09,16,General Teaching,Central
204,0225_02_2.201,458,General Teaching,Central
205,0300_00_NG.01,36,General Teaching,Central
206,0300_00_NG.02,36,General Teaching,Central
207,0300_00_NG.03,16,General Teaching,Central
208,0300_00_NG.04,16,General Teaching,Central
209,0335_00_G.01,120,General Teaching,Central
210,0335_00_G.09,32,General Teaching,Central
211,0335_00_G.10,32,General Teaching,Central
212,0335_00_G.12,17,General Teaching,Central
213,0335_00_G.13,48,General Teaching,Central
214,0335_00_G.17,14,General Teaching,Central
215,0335_01_1.1,25,General Teaching,Central
217,0335_01_1.2,44,General Teaching,Central
218,0335_01_1.3,30,General Teaching,Central
219,0335_01_1.4,16,General Teaching,Central
220,0335_01_1.9,32,General Teaching,Central
221,0335_02_2.1,25,General Teaching,Central
223,0335_02_2.18,16,General Teaching,Central
224,0335_02_2.2,44,General Teaching,Central
225,0335_02_2.3,40,General Teaching,Central
226,0335_02_2.4,16,General Teaching,Central
227,0335_03_3.1,25,General Teaching,Central
228,0335_03_3.2,40,General Teaching,Central
229,0335_03_3.3,40,General Teaching,Central
230,0335_03_3.4,16,General Teaching,Central
231,0335_04_4.1,30,General Teaching,Central
232,0335_04_4.2,32,General Teaching,Central
233,0335_04_4.3,60,General Teaching,Central
234,0335_05_5.1,25,General Teaching,Central
235,0335_05_5.2,32,General Teaching,Central
236,0335_05_5.3,50,General Teaching,Central
237,0113_00_G.03,50,General Teaching,Central
