Module_A,Module_B,Clash_Count
REDU11045,REDU11046,550
SCEE08009,SCEE08010,387
SCEE08010,SCEE08015,368
SCEE08009,SCEE08015,364
SCEE08009,SCEE08014,356
SCEE08010,SCEE08014,355
SCEE08014,SCEE08015,333
ECNM08006,ECNM08016,313
BILG08025,BILG08026,304
LAWS08130,LAWS08133,289
BILG08025,BIME08012,287
MATH08063,MATH08064,282
BILG08026,BIME08012,281
SCEE08003,SCEE08014,278
SCEE08003,SCEE08009,276
ECNM10052,ECNM10070,276
SCEE08003,SCEE08010,276
LAWS08129,LAWS08133,275
MATH08063,MATH08066,274
MATH08064,MATH08066,273
LAWS08129,LAWS08130,268
LAWS08131,LAWS08133,263
LAWS08130,LAWS08131,260
MATH08057,MATH08058,257
EDUA11248,REDU11046,254
EDUA11248,REDU11045,254
SCEE08003,SCEE08015,253
ECNM10069,ECNM10070,251
LAWS08131,LAWS08134,250
ECNM10052,ECNM10069,249
LAWS08131,LAWS08142,248
LAWS08131,LAWS08141,247
LAWS08129,LAWS08131,247
MATH08051,MATH08064,246
LAWS08133,LAWS08142,245
LAWS08130,LAWS08142,245
LAWS08130,LAWS08134,244
BIME08011,BIME08012,244
LAWS08141,LAWS08142,242
LAWS08130,LAWS08141,241
LAWS08130,LAWS08135,241
LAWS08133,LAWS08134,241
LAWS08132,LAWS08142,241
LAWS08131,LAWS08135,241
INFR08026,INFR08027,240
SCEE08010,SCEE08016,240
LAWS08135,LAWS08141,240
LAWS08131,LAWS08132,240
LAWS08134,LAWS08141,240
LAWS08133,LAWS08141,239
LAWS08133,LAWS08135,239
LAWS08132,LAWS08134,238
LAWS08132,LAWS08141,238
LAWS08135,LAWS08142,237
ENLI08024,ENLI08025,237
LAWS08134,LAWS08135,237
LAWS08134,LAWS08142,237
MATH08051,MATH08066,237
MATH08051,MATH08063,236
LAWS08129,LAWS08142,236
ECNM10052,ECNM10056,236
LAWS08132,LAWS08135,236
LAWS08130,LAWS08132,235
SCEE08014,SCEE08016,235
SCEE08009,SCEE08016,234
PHIL08014,PHIL08017,234
LAWS08132,LAWS08133,233
LAWS08129,LAWS08135,231
SCEE08003,SCEE08016,231
LAWS08129,LAWS08141,230
ECNM10056,ECNM10070,230
LAWS08129,LAWS08134,230
INFR08026,INFR08030,226
LAWS08129,LAWS08132,226
BILG08024,BILG08026,224
BILG08024,BILG08025,223
MATH08064,MATH08065,220
CIVE08026,SCEE08010,218
MATH08065,MATH08066,217
CIVE08026,SCEE08014,216
CIVE08026,SCEE08003,215
BIME08007,BIME08012,215
CIVE08026,SCEE08009,214
SCEE08015,SCEE08016,214
MATH08063,MATH08065,213
ECNM10056,ECNM10069,208
MATH08051,MATH08065,205
BIME08007,BIME08011,204
HIST08032,HIST08034,204
PHYS08042,PHYS08043,202
EDUA11257,EDUA11329,202
EDUA11257,REDU11084,202
EDUA11248,EDUA11257,202
EDUA11257,REDU11046,201
EDUA11248,EDUA11329,201
EDUA11257,REDU11045,201
EDUA11329,REDU11084,201
EDUA11329,REDU11046,201
EDUA11248,REDU11084,201
EDUA11329,REDU11045,201
REDU11045,REDU11084,200
REDU11046,REDU11084,200
PHYS08043,PHYS08046,198
INFR08026,INFR08031,197
BUST09007,CMSE10003,197
PHYS08045,PHYS08049,195
CIVE08026,SCEE08015,194
INFR08027,INFR08030,194
PHYS08043,PHYS08045,192
PHYS08045,PHYS08046,191
INFR08030,INFR08031,190
SCEE08008,SCEE08010,189
PLIT08017,PLIT08018,189
PHYS08042,PHYS08046,188
ELEE08016,SCEE08010,188
PHYS08042,PHYS08045,187
SCEE08008,SCEE08009,186
ELEE08016,SCEE08015,186
BUST08033,BUST08056,186
SCEE08008,SCEE08015,186
ELEE08016,SCEE08009,185
INFR08030,INFR08032,185
INFR08026,INFR08032,185
PHYS08043,PHYS08049,184
SCEE08008,SCEE08014,184
MATH08058,MATH08059,183
INFR08031,INFR08032,182
PHYS08045,PHYS08058,182
INFR08027,INFR08031,182
PHYS08042,PHYS08049,182
PSYL08012,PSYL08015,181
PHYS08049,PHYS08058,180
PHYS08046,PHYS08058,180
PSYL08011,PSYL08012,180
PHYS08043,PHYS08058,180
INFR08027,INFR08032,179
PHYS08046,PHYS08049,179
PSYL08011,PSYL08015,178
PLIT08011,PLIT08017,178
PHYS08042,PHYS08058,175
BILG08025,BIME08011,175
BVMS10034,BVMS10035,171
BVMS10039,BVMS10040,171
BVMS10035,BVMS10039,171
BVMS10028,BVMS10034,171
BVMS10035,BVMS10040,171
BVMS10034,BVMS10040,171
BVMS10028,BVMS10039,171
BVMS10028,BVMS10040,171
BVMS10034,BVMS10039,171
BVMS10028,BVMS10035,171
MATH08066,MATH08068,170
MATH08063,MATH08068,169
ELEE08015,SCEE08010,168
MATH08064,MATH08068,168
MECE08009,SCEE08010,168
CIVE08026,SCEE08016,168
ELEE08022,SCEE08010,167
ELEE08022,SCEE08015,167
PSYL10004,PSYL10090,167
ELEE08016,ELEE08022,167
HIST10425,HIST10426,166
PHYS10042,PHYS10096,166
ENLI08020,ENLI08021,166
BVMS09013,BVMS09015,165
ELEE08015,SCEE08015,165
HIST08043,HIST08044,165
BVMS09010,BVMS09014,163
BVMS09010,BVMS09015,163
BVMS09013,BVMS09014,163
MATH08057,MATH08059,163
BVMS09010,BVMS09013,163
ELEE08015,SCEE08009,163
ELEE08022,SCEE08009,163
MECE08009,SCEE08009,163
MECE08009,SCEE08014,163
BVMS09014,BVMS09015,163
MECE08009,SCEE08015,163
