Session_ID,Event_ID,Event_Size,Original_Time,Assigned_Time,Assigned_Room,Assigned_Campus,Assigned_Capacity,Penalty,Status
E:T55NS8FLFY-2_W18,E:T55NS8FLFY-2,400.0,Friday 12:00,Friday 12:00,0225_02_2.201,Central,458,58.0,Scheduled
E:VNAV27EOUZ_W19,E:VNAV27EOUZ,250.0,Thursday 14:00,Thursday 14:00,0227_00_G.03,Central,255,5.0,Scheduled
E:VOC1A7PEUG_W17,E:VOC1A7PEUG,250.0,Thursday 14:00,Thursday 14:00,0201_01_1.06,Central,300,50.0,Scheduled
E:VOC1A7PEUG_W18,E:VOC1A7PEUG,250.0,Thursday 14:00,Thursday 14:00,0201_01_1.06,Central,300,50.0,Scheduled
E:VOC1A7PEUG_W16,E:VOC1A7PEUG,250.0,Thursday 14:00,Thursday 14:00,0201_01_1.06,Central,300,50.0,Scheduled
E:A8WBX1V568_W16,E:A8WBX1V568,243.0,Thursday 10:00,Thursday 10:00,0229_01_1.B,Central,250,7.0,Scheduled
E:A8WBX1V568_W18,E:A8WBX1V568,243.0,Thursday 10:00,Thursday 10:00,0201_01_1.06,Central,300,57.0,Scheduled
E:MLIJMHK2HR-00005_W29,E:MLIJMHK2HR-00005,240.0,Wednesday 15:00,Wednesday 15:00,0229_01_1.B,Central,250,10.0,Scheduled
E:MLIJMHK2HR-00005_W32,E:MLIJMHK2HR-00005,240.0,Wednesday 15:00,Wednesday 15:00,0229_01_1.B,Central,250,10.0,Scheduled
E:MLIJMHK2HR-00005_W30,E:MLIJMHK2HR-00005,240.0,Wednesday 15:00,Wednesday 15:00,0229_01_1.C,Central,250,10.0,Scheduled
E:F8VJQYNJ9B_W19,E:F8VJQYNJ9B,240.0,Sunday 09:30,Sunday 09:30,0229_01_1.B,Central,250,10.0,Scheduled
E:F8VJQYNJ9B-00001_W19,E:F8VJQYNJ9B-00001,240.0,Friday 14:00,Friday 14:00,0113_01_1.425,Central,260,20.0,Scheduled
E:F8VJQYNJ9B-00002_W19,E:F8VJQYNJ9B-00002,240.0,Saturday 00:00,Saturday 00:00,0229_01_1.B,Central,250,10.0,Scheduled
E:F8VJQYNJ9B-00003_W19,E:F8VJQYNJ9B-00003,240.0,Sunday 00:00,Sunday 00:00,0229_01_1.C,Central,250,10.0,Scheduled
E:MLIJMHK2HR-00005_W36,E:MLIJMHK2HR-00005,240.0,Wednesday 15:00,Wednesday 15:00,0229_01_1.B,Central,250,10.0,Scheduled
E:MLIJMHK2HR-00005_W35,E:MLIJMHK2HR-00005,240.0,Wednesday 15:00,Wednesday 15:00,0229_01_1.B,Central,250,10.0,Scheduled
