scenario,day,campus_from,campus_to,conflict_count
central_only,Monday,King's Buildings,Central,2783
central_only,Tuesday,King's Buildings,Central,2763
central_only,Thursday,King's Buildings,Central,2758
central_only,Monday,Central,King's Buildings,2590
central_only,Friday,King's Buildings,Central,2552
central_only,Tuesday,Central,King's Buildings,2471
central_only,Thursday,Central,King's Buildings,2411
central_only,Friday,Central,King's Buildings,2403
central_only,Thursday,New College,Central,2188
central_only,Wednesday,King's Buildings,Central,1978
central_only,Thursday,Central,New College,1946
central_only,Wednesday,Central,King's Buildings,1832
central_only,Monday,Central,New College,1358
central_only,Tuesday,Central,New College,1348
central_only,Thursday,Central,Lauriston,1292
central_only,Thursday,Lauriston,Central,1243
central_only,Monday,New College,Central,1214
central_only,Tuesday,New College,Central,1175
central_only,Tuesday,Central,Lauriston,1017
central_only,Friday,Central,New College,1004
central_only,Tuesday,Lauriston,Central,1001
central_only,Friday,New College,Central,955
central_only,Wednesday,Lauriston,Central,863
central_only,Wednesday,Central,Lauriston,680
central_only,Monday,Lauriston,Central,517
central_only,Friday,Lauriston,Central,468
central_only,Monday,Central,Lauriston,443
central_only,Friday,Central,Lauriston,394
central_only,Wednesday,New College,Central,309
central_only,Wednesday,Central,New College,230
central_only,Monday,New College,King's Buildings,178
central_only,Thursday,Central,Holyrood,140
central_only,Thursday,King's Buildings,New College,135
central_only,Tuesday,New College,King's Buildings,126
central_only,Thursday,New College,King's Buildings,113
central_only,Monday,King's Buildings,New College,94
central_only,Thursday,Holyrood,Central,94
central_only,Thursday,New College,Lauriston,83
central_only,Tuesday,Lauriston,New College,83
central_only,Thursday,King's Buildings,Lauriston,68
central_only,Thursday,Lauriston,New College,64
central_only,Tuesday,New College,Lauriston,64
central_only,Tuesday,King's Buildings,New College,57
central_only,Friday,New College,King's Buildings,53
central_only,Monday,Central,Bioquarter,53
central_only,Monday,Holyrood,Central,53
central_only,Thursday,Lauriston,King's Buildings,50
central_only,Tuesday,Central,Bioquarter,50
central_only,Tuesday,Central,Holyrood,49
central_only,Tuesday,Lauriston,King's Buildings,48
central_only,Friday,Bioquarter,Central,44
central_only,Friday,King's Buildings,New College,44
central_only,Monday,Bioquarter,Central,44
central_only,Tuesday,Holyrood,Central,42
central_only,Tuesday,Bioquarter,Central,38
central_only,Thursday,Bioquarter,Central,37
central_only,Friday,New College,Lauriston,35
central_only,Wednesday,King's Buildings,Lauriston,35
central_only,Tuesday,King's Buildings,Lauriston,34
central_only,Monday,New College,Lauriston,33
central_only,Wednesday,New College,King's Buildings,33
central_only,Thursday,Bioquarter,King's Buildings,30
central_only,Thursday,Central,Bioquarter,30
central_only,Wednesday,King's Buildings,New College,29
central_only,Wednesday,Holyrood,Central,28
central_only,Monday,Lauriston,New College,26
central_only,Wednesday,Central,Bioquarter,26
central_only,Friday,Central,Bioquarter,24
central_only,Monday,Lauriston,King's Buildings,24
central_only,Wednesday,Central,Holyrood,23
central_only,Wednesday,Lauriston,King's Buildings,20
central_only,Monday,Central,Holyrood,18
central_only,Friday,Holyrood,Central,16
central_only,Monday,King's Buildings,Lauriston,15
central_only,Friday,King's Buildings,Lauriston,13
central_only,Friday,Lauriston,King's Buildings,13
central_only,Thursday,King's Buildings,Bioquarter,13
central_only,Wednesday,Bioquarter,Central,12
central_only,Friday,Lauriston,New College,10
central_only,Wednesday,Lauriston,New College,10
central_only,Wednesday,New College,Lauriston,10
central_only,Friday,Bioquarter,New College,9
central_only,Friday,Central,Holyrood,9
central_only,Thursday,Bioquarter,New College,9
central_only,Friday,King's Buildings,Holyrood,6
central_only,Tuesday,Bioquarter,King's Buildings,5
central_only,Wednesday,King's Buildings,Bioquarter,5
central_only,Tuesday,Holyrood,King's Buildings,2
central_only,Tuesday,King's Buildings,Bioquarter,2
central_only,Tuesday,King's Buildings,Holyrood,2
central_only,Wednesday,New College,Bioquarter,2
central_only,Friday,Holyrood,King's Buildings,1
central_only,Friday,New College,Bioquarter,1
central_only,Monday,King's Buildings,Bioquarter,1
central_only,Monday,King's Buildings,Holyrood,1
central_only,Thursday,Bioquarter,Western General,1
central_only,Thursday,Holyrood,Lauriston,1
central_plus_both,Monday,King's Buildings,Central,2783
