scenario,event_id,event_name,module_id,day,start_min,end_min,original_day,assigned_day,original_start_min,original_end_min,assigned_start_min,assigned_end_min,day_shift_steps,shift_minutes,is_time_shifted,is_day_shifted,is_shifted,event_size,weeks_count,assigned,assigned_room,assigned_campus,assigned_capacity,capacity_margin,unassigned_reason
central_plus_both_shift60,E:61LY4VACOD-00001-00005,Childhood Studies Work Based Learning 1: Professional Development - Conference main venue Rehearsal,EDUA08045_SS1_YR_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,200.0,1,True,0113_00_G.152,Central,200.0,0.0,
central_plus_both_shift60,E:HS9ZJ66FDK,Childhood Studies Work Based Learning 1: Professional Development Lecture,EDUA08045_SS1_YR_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,55.0,11,True,0112_00_G.01,Central,55.0,0.0,
central_plus_both_shift60,E:MYXH648YQ4,Children's Health and Wellbeing Lecture,EDUA08093_SS1_SEM2_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,55.0,12,True,0112_00_G.01,Central,55.0,0.0,
central_plus_both_shift60,E:YE1MECTHEY,"Children, Education and Social Justice Lecture",EDUA08092_SS1_SEM1_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,55.0,11,True,0112_00_G.02,Central,55.0,0.0,
central_plus_both_shift60,E:HS9ZJ66FDK-00001,Childhood Studies Work Based Learning 1: Professional Development Lecture,EDUA08045_SS1_YR_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,55.0,12,True,0112_00_G.02,Central,55.0,0.0,
central_plus_both_shift60,E:NZ4QN6NPBY,PGDE Secondary - Professional Studies Tutorial/04,EDUA11288_SS1_FLEX_2024/5,Thursday,630.0,810.0,Thursday,Thursday,600.0,780.0,630.0,810.0,0.0,30.0,True,False,True,40.0,1,True,0201_00_G.06,Central,193.0,153.0,
central_plus_both_shift60,E:NVCLPZ3X8B,PGDE Secondary - Professional Studies Tutorial/02,EDUA11288_SS1_FLEX_2024/5,Thursday,660.0,840.0,Thursday,Thursday,600.0,780.0,660.0,840.0,0.0,60.0,True,False,True,40.0,1,True,0424_05_5.21,Lauriston,40.0,0.0,
central_plus_both_shift60,E:4KW8I7Z416,PGDE Secondary - Professional Studies Tutorial/03,EDUA11288_SS1_FLEX_2024/5,Thursday,660.0,840.0,Thursday,Thursday,600.0,780.0,660.0,840.0,0.0,60.0,True,False,True,40.0,1,True,0110_02_2.04,Central,42.0,2.0,
central_plus_both_shift60,E:H522U5CKI1,PGDE Secondary - Professional Studies Tutorial/05,EDUA11288_SS1_FLEX_2024/5,Thursday,660.0,840.0,Thursday,Thursday,600.0,780.0,660.0,840.0,0.0,60.0,True,False,True,40.0,1,True,0001_00_G.159,Central,108.0,68.0,
central_plus_both_shift60,E:O41OI4ZGR6,Physical Activity for health - In-person seminar,SPRT11005_SV1_SEM1_2024/5,Tuesday,900.0,1010.0,Tuesday,Tuesday,840.0,950.0,900.0,1010.0,0.0,60.0,True,False,True,40.0,11,True,0226_01_1.02,Central,50.0,10.0,
central_plus_both_shift60,E:4KW8I7Z416-00001,PGDE Secondary - Professional Studies Tutorial/03,EDUA11288_SS1_FLEX_2024/5,Thursday,690.0,800.0,Thursday,Thursday,660.0,770.0,690.0,800.0,0.0,30.0,True,False,True,40.0,1,True,0201_00_G.06,Central,193.0,153.0,
central_plus_both_shift60,E:NVCLPZ3X8B-00001,PGDE Secondary - Professional Studies Tutorial/02,EDUA11288_SS1_FLEX_2024/5,Thursday,720.0,830.0,Thursday,Thursday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,40.0,1,True,0113_01M_01M.469,Central,40.0,0.0,
central_plus_both_shift60,E:XAMTVNOWYQ,WBH1 - SEAM Unit 1 Tutorial SEA1/A05,MBCH08013_SS1_YR_2024/5,Thursday,570.0,650.0,Thursday,Thursday,600.0,680.0,570.0,650.0,0.0,-30.0,True,False,True,40.0,3,True,0103_03_3.D02,Central,40.0,0.0,
central_plus_both_shift60,E:QY5QXEJOWH,WBH1 - SEAM Unit 1 Tutorial SEA1/A05,MBCH08013_SS1_YR_2024/5,Thursday,570.0,650.0,Thursday,Thursday,600.0,680.0,570.0,650.0,0.0,-30.0,True,False,True,40.0,2,True,0103_03_3.D02,Central,40.0,0.0,
central_plus_both_shift60,E:QY5QXEJOWH-00001,WBH1 - SEAM Unit 1 Tutorial SEA1/B05,MBCH08013_SS1_YR_2024/5,Thursday,720.0,800.0,Thursday,Thursday,690.0,770.0,720.0,800.0,0.0,30.0,True,False,True,40.0,2,True,0335_01_1.2,Central,44.0,4.0,
central_plus_both_shift60,E:XK1UHWTNIR,Sport Management Research Methods Lecture (S1),SPRT08031_SS1_YR_2024/5,Tuesday,810.0,860.0,Tuesday,Tuesday,840.0,890.0,810.0,860.0,0.0,-30.0,True,False,True,40.0,6,True,0201_00_G.07,Central,194.0,154.0,
central_plus_both_shift60,E:PI3W6Z7DBN,"Planning & Instruction for Performance - Lecture <13-15, 19>",EDUA11040_SV1_SEM1_2024/5,Tuesday,780.0,830.0,Tuesday,Tuesday,840.0,890.0,780.0,830.0,0.0,-60.0,True,False,True,40.0,10,True,0113_01M_01M.469,Central,40.0,0.0,
central_plus_both_shift60,E:YDTMR44JZS,"Sport, Media and Society - Lecture",SPRT10021_SV1_SEM2_2024/5,Monday,540.0,660.0,Monday,Monday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,37.0,9,True,0335_03_3.3,Central,40.0,3.0,
central_plus_both_shift60,E:OF9C2TYV3Q,Global Rome - Seminar,HIAR11112_SV1_SEM2_2024/5,Monday,720.0,830.0,Monday,Monday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,37.0,10,True,0113_01_1.416,Central,40.0,3.0,
central_plus_both_shift60,E:61LY4VACOD-00005-00001,Childhood Studies Work Based Learning 1: Professional Development - Conference Breakout Rehearsal,EDUA08045_SS1_YR_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,35.0,1,True,0112_-1_B.01,Central,35.0,0.0,
central_plus_both_shift60,E:61LY4VACOD-00005,Childhood Studies Work Based Learning 1: Professional Development - Conference Breakout Rehearsal,EDUA08045_SS1_YR_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,35.0,1,True,0228_-1_LG.06,Central,35.0,0.0,
central_plus_both_shift60,E:61LY4VACOD-00005-00002,Childhood Studies Work Based Learning 1: Professional Development - Conference Breakout Rehearsal,EDUA08045_SS1_YR_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,35.0,1,True,0227_00_G.02,Central,36.0,1.0,
central_plus_both_shift60,E:61LY4VACOD-00005-00003,Childhood Studies Work Based Learning 1: Professional Development - Conference Breakout Rehearsal,EDUA08045_SS1_YR_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,35.0,1,True,0228_-1_LG.08,Central,36.0,1.0,
central_plus_both_shift60,E:61LY4VACOD-00005-00004,Childhood Studies Work Based Learning 1: Professional Development - Conference Breakout Rehearsal,EDUA08045_SS1_YR_2024/5,Tuesday,1080.0,1200.0,Tuesday,Tuesday,1110.0,1230.0,1080.0,1200.0,0.0,-30.0,True,False,True,35.0,1,True,0228_-1_LG.10,Central,36.0,1.0,
central_plus_both_shift60,E:KUD2AHUU2X-00001,Dimensions of Teaching - Workshop/04,EDUA11441_SS1_SEM1_2024/5,Wednesday,540.0,660.0,Wednesday,Wednesday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,30.0,3,True,0226_-1_LG.18,Central,66.0,36.0,
central_plus_both_shift60,E:PK5D76D2XE-00001,Dimensions of Teaching - Workshop/03,EDUA11441_SS1_SEM1_2024/5,Wednesday,540.0,660.0,Wednesday,Wednesday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,30.0,3,True,0209_02_2.01,Central,70.0,40.0,
central_plus_both_shift60,E:WVTC1JMPSX-00002-00001,Pedagogies - Workshop/04,EDUA11449_SS1_SEM2_2024/5,Wednesday,540.0,660.0,Wednesday,Wednesday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,30.0,4,True,0201_00_G.06,Central,193.0,163.0,
central_plus_both_shift60,E:8MZOABQJT9-00001,Dimensions of Teaching - Workshop/02,EDUA11441_SS1_SEM1_2024/5,Wednesday,540.0,660.0,Wednesday,Wednesday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,30.0,3,True,0001_00_G.159,Central,108.0,78.0,
central_plus_both_shift60,E:OGMTQZFYRI-00002-00001,Pedagogies - Workshop/01,EDUA11449_SS1_SEM2_2024/5,Wednesday,660.0,780.0,Wednesday,Wednesday,600.0,720.0,660.0,780.0,0.0,60.0,True,False,True,30.0,5,True,0401_01_1.07,New College,32.0,2.0,
central_plus_both_shift60,E:S5T3TRVYKP-00002-00001,Pedagogies - Workshop/03,EDUA11449_SS1_SEM2_2024/5,Wednesday,660.0,780.0,Wednesday,Wednesday,600.0,720.0,660.0,780.0,0.0,60.0,True,False,True,30.0,4,True,0228_-1_LG.10,Central,36.0,6.0,
central_plus_both_shift60,E:5AB85WSTLF,Involving Children and Young People in Research and Participation - Workshop,EDUA11407_SV1_SEM2_2024/5,Monday,780.0,890.0,Monday,Monday,840.0,950.0,780.0,890.0,0.0,-60.0,True,False,True,30.0,8,True,0201_00_G.08,Central,193.0,163.0,
central_plus_both_shift60,E:536ASFREI3,Dissertation (MSc Inclusive Education) - Tutorial,REDU11088_SV1_YR_2024/5,Tuesday,690.0,800.0,Tuesday,Tuesday,660.0,770.0,690.0,800.0,0.0,30.0,True,False,True,30.0,6,True,0201_00_G.06,Central,193.0,163.0,
central_plus_both_shift60,E:NOBUX491AY,Psychology of Physical Activity 3 - Tutorial,SPRT10053_SV1_SEM2_2024/5,Tuesday,690.0,800.0,Tuesday,Tuesday,660.0,770.0,690.0,800.0,0.0,30.0,True,False,True,30.0,10,True,0201_00_G.08,Central,193.0,163.0,
central_plus_both_shift60,E:B6RZ1VGX2C,Translation and Creativity - Seminar,CLLC11127_SS1_SEM1_2024/5,Tuesday,720.0,830.0,Tuesday,Tuesday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,30.0,10,True,0401_01_1.07,New College,32.0,2.0,
