scenario,event_id,event_name,module_id,day,start_min,end_min,original_day,assigned_day,original_start_min,original_end_min,assigned_start_min,assigned_end_min,day_shift_steps,shift_minutes,is_time_shifted,is_day_shifted,is_shifted,event_size,weeks_count,assigned,assigned_room,assigned_campus,assigned_capacity,capacity_margin,unassigned_reason
central_only,E:YF9B9FA4RR,PGDE Secondary - Professional Studies Tutorial/06,EDUA11288_SS1_FLEX_2024/5,Thursday,600.0,780.0,Thursday,,600.0,780.0,,,,,False,False,False,40.0,1,False,,,,,timeslot_room_conflict
central_only,E:NZ4QN6NPBY,PGDE Secondary - Professional Studies Tutorial/04,EDUA11288_SS1_FLEX_2024/5,Thursday,600.0,780.0,Thursday,,600.0,780.0,,,,,False,False,False,40.0,1,False,,,,,timeslot_room_conflict
central_only,E:NVCLPZ3X8B,PGDE Secondary - Professional Studies Tutorial/02,EDUA11288_SS1_FLEX_2024/5,Thursday,600.0,780.0,Thursday,,600.0,780.0,,,,,False,False,False,40.0,1,False,,,,,timeslot_room_conflict
central_only,E:4KW8I7Z416,PGDE Secondary - Professional Studies Tutorial/03,EDUA11288_SS1_FLEX_2024/5,Thursday,600.0,780.0,Thursday,,600.0,780.0,,,,,False,False,False,40.0,1,False,,,,,timeslot_room_conflict
central_only,E:H522U5CKI1,PGDE Secondary - Professional Studies Tutorial/05,EDUA11288_SS1_FLEX_2024/5,Thursday,600.0,780.0,Thursday,,600.0,780.0,,,,,False,False,False,40.0,1,False,,,,,timeslot_room_conflict
central_only,E:CRK46TQ6DH,PGDE Secondary - Professional Studies Tutorial/09,EDUA11288_SS1_FLEX_2024/5,Thursday,600.0,780.0,Thursday,,600.0,780.0,,,,,False,False,False,40.0,1,False,,,,,timeslot_room_conflict
central_only,E:O41OI4ZGR6,Physical Activity for health - In-person seminar,SPRT11005_SV1_SEM1_2024/5,Tuesday,840.0,950.0,Tuesday,,840.0,950.0,,,,,False,False,False,40.0,11,False,,,,,timeslot_room_conflict
central_only,E:4KW8I7Z416-00001,PGDE Secondary - Professional Studies Tutorial/03,EDUA11288_SS1_FLEX_2024/5,Thursday,660.0,770.0,Thursday,,660.0,770.0,,,,,False,False,False,40.0,1,False,,,,,timeslot_room_conflict
central_only,E:NVCLPZ3X8B-00001,PGDE Secondary - Professional Studies Tutorial/02,EDUA11288_SS1_FLEX_2024/5,Thursday,660.0,770.0,Thursday,,660.0,770.0,,,,,False,False,False,40.0,1,False,,,,,timeslot_room_conflict
central_only,E:XAMTVNOWYQ,WBH1 - SEAM Unit 1 Tutorial SEA1/A05,MBCH08013_SS1_YR_2024/5,Thursday,600.0,680.0,Thursday,,600.0,680.0,,,,,False,False,False,40.0,3,False,,,,,timeslot_room_conflict
central_only,E:QY5QXEJOWH,WBH1 - SEAM Unit 1 Tutorial SEA1/A05,MBCH08013_SS1_YR_2024/5,Thursday,600.0,680.0,Thursday,,600.0,680.0,,,,,False,False,False,40.0,2,False,,,,,timeslot_room_conflict
central_only,E:XK1UHWTNIR,Sport Management Research Methods Lecture (S1),SPRT08031_SS1_YR_2024/5,Tuesday,840.0,890.0,Tuesday,,840.0,890.0,,,,,False,False,False,40.0,6,False,,,,,timeslot_room_conflict
central_only,E:PI3W6Z7DBN,"Planning & Instruction for Performance - Lecture <13-15, 19>",EDUA11040_SV1_SEM1_2024/5,Tuesday,840.0,890.0,Tuesday,,840.0,890.0,,,,,False,False,False,40.0,10,False,,,,,timeslot_room_conflict
central_only,E:YDTMR44JZS,"Sport, Media and Society - Lecture",SPRT10021_SV1_SEM2_2024/5,Monday,600.0,720.0,Monday,,600.0,720.0,,,,,False,False,False,37.0,9,False,,,,,timeslot_room_conflict
central_only,E:OF9C2TYV3Q,Global Rome - Seminar,HIAR11112_SV1_SEM2_2024/5,Monday,660.0,770.0,Monday,,660.0,770.0,,,,,False,False,False,37.0,10,False,,,,,timeslot_room_conflict
central_only,E:DCXLBP9F3D,Sport Industry in a Global Context - Lecture,SPRT10056_SV1_SEM2_2024/5,Monday,840.0,920.0,Monday,,840.0,920.0,,,,,False,False,False,37.0,10,False,,,,,timeslot_room_conflict
central_only,E:61LY4VACOD-00001-00002,Childhood Studies Work Based Learning 1: Professional Development Conference breakout room,EDUA08045_SS1_YR_2024/5,Tuesday,600.0,1200.0,Tuesday,,600.0,1200.0,,,,,False,False,False,35.0,1,False,,,,,timeslot_room_conflict
central_only,E:61LY4VACOD-00001-00003,Childhood Studies Work Based Learning 1: Professional Development Conference breakout room,EDUA08045_SS1_YR_2024/5,Tuesday,600.0,1200.0,Tuesday,,600.0,1200.0,,,,,False,False,False,35.0,1,False,,,,,timeslot_room_conflict
central_only,E:61LY4VACOD-00001,Childhood Studies Work Based Learning 1: Professional Development Conference breakout room,EDUA08045_SS1_YR_2024/5,Tuesday,600.0,1200.0,Tuesday,,600.0,1200.0,,,,,False,False,False,35.0,1,False,,,,,timeslot_room_conflict
central_only,E:YQ3NFPI1W9,Events Management - Workshop (Classroom),SPRT08026_SV1_YR_2024/5,Monday,810.0,960.0,Monday,,810.0,960.0,,,,,False,False,False,35.0,6,False,,,,,timeslot_room_conflict
central_only,E:C8B9IDG4HA,Health and Wellbeing Promotion in the University Community and Beyond - Workshop/02,EDUA08125_SV1_SEM1_2024/5,Tuesday,600.0,720.0,Tuesday,,600.0,720.0,,,,,False,False,False,30.0,11,False,,,,,timeslot_room_conflict
